fecha;PM2,5;PM10;SO2;NO2;NOX;NO;CO;O3;Radiación Global;Presión Atmosférica;Precipitaciones;H(%);T°;Dirección del Viento;Velocidad del Viento;nombre_estacion;rango;ica;episodio;temperatura;humedad;presion;viento
2019/05/02 00:00:00.000;1;4;;;;;;;0;994.6;0.2;0.8;15.8;120.8;1.6;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;93.7;1010;18.5
2019/05/02 00:00:00.000;4;6;;1.5;4.8;;0.1;;;997;0;95.2;15;331.9;4.3;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;93.7;1010;18.5
2019/05/02 00:00:00.000;4;4;;;;;0.8;;;1000;0.1;100;14.3;337;4.7;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;93.7;1010;18.5
2019/05/02 01:00:00.000;1;3;;;;;;;0;994;0.1;0.8;15.8;137.2;1.3;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;14;100;1010;14.8
2019/05/02 01:00:00.000;1;7;;1.2;4.4;;0.1;;;997;0;96.1;14.9;332;3.8;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;14;100;1010;14.8
2019/05/02 01:00:00.000;3;5;;;;;0.8;;;999.5;0.2;100;14.3;341.8;4.8;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;14;100;1010;14.8
2019/05/02 02:00:00.000;1;1;;;;;;;0;994.2;0.3;0.8;15.6;180.3;1.4;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;93.7;1010;18.5
2019/05/02 02:00:00.000;1;5;;1;4.1;;0.1;;;997;0;97.2;14.8;330.5;3.9;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;93.7;1010;18.5
2019/05/02 02:00:00.000;3;4;;;;;0.8;;;999.7;0.4;100;14.2;339.1;4.3;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;93.7;1010;18.5
2019/05/02 03:00:00.000;1;1;;;;;;;0;994;0.1;0.8;15.5;149.4;1.1;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;93.7;1008;22.2
2019/05/02 03:00:00.000;2;5;;1;4;;0.1;;;996.7;0;97.7;14.8;329.9;3.6;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;93.7;1008;22.2
2019/05/02 03:00:00.000;4;3;;;;;0.9;;;999.2;0;100;14.3;341.1;4;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;93.7;1008;22.2
